County,Sub-county,January 2019,February 2019,March 2019,April 2019,May 2019,June 2019,July 2019,August 2019,September 2019,October 2019,November 2019,December 2019,January 2020,February 2020,March 2020,April 2020,May 2020,June 2020,July 2020,August 2020,September 2020,October 2020,November 2020,December 2020,January 2021,February 2021,March 2021,April 2021,May 2021,June 2021,July 2021,August 2021,September 2021,October 2021,November 2021,December 2021,January 2022,February 2022,March 2022,April 2022,May 2022,June 2022,July 2022,August 2022,September 2022,October 2022,November 2022,December 2022,January 2023,February 2023,March 2023,April 2023,May 2023,June 2023,July 2023,August 2023,September 2023
Vihiga County,Sabatia Sub County,128.60986328125,106.90396881103516,98.1222686767578,110.78787994384766,133.4434356689453,122.4912338256836,126.49837493896484,116.82649993896484,119.64006805419922,111.20403289794922,127.98681640625,118.26969909667967,123.76248931884766,120.703857421875,114.37467193603516,106.49971771240234,130.4981231689453,117.65924835205078,120.54876708984376,112.7873306274414,128.0805206298828,130.68531799316406,141.17152404785156,136.38436889648438,130.1924285888672,110.84269714355467,110.32840728759766,114.40387725830078,129.17849731445312,135.63291931152344,122.90167999267578,116.75830841064452,109.8022918701172,126.64508819580078,125.82582092285156,121.7450942993164,111.93242645263672,114.05393981933594,118.62555694580078,114.1666259765625,124.564453125,125.94146728515624,122.9618911743164,112.67901611328124,124.0365753173828,140.64356994628906,125.2400131225586,122.04429626464844,130.35609436035156,101.8203125,93.63883972167967,116.55455017089844,142.29261779785156,134.1902313232422,133.84597778320312,129.4935760498047,120.87132263183594
Trans Nzoia County,Saboti Sub County,106.32125854492188,84.27194213867188,70.39833068847656,65.42373657226562,122.706787109375,140.77264404296875,145.6051788330078,127.26590728759766,144.36021423339844,134.26101684570312,132.31504821777344,135.42266845703125,142.30690002441406,136.6748809814453,115.00379943847656,95.21023559570312,135.1995086669922,130.98318481445312,124.1453857421875,121.32307434082033,126.2892837524414,135.4697723388672,163.58212280273438,142.78775024414062,116.28264617919922,85.6611328125,78.49950408935547,94.38799285888672,136.76971435546875,160.14723205566406,127.68334197998048,136.56822204589844,123.12100219726562,142.07347106933594,145.1047821044922,119.6149673461914,92.28760528564452,83.17240142822266,83.40878295898438,84.17566680908203,133.56690979003906,146.30484008789062,131.60830688476562,128.48321533203125,148.16342163085938,158.56004333496094,137.6724395751953,121.20555877685548,117.48336791992188,86.23469543457031,74.96039581298828,107.8263931274414,164.4308319091797,156.71560668945312,140.70053100585938,141.50340270996094,128.45799255371094
Marsabit County,Saku Sub County,21.17325592041016,17.200143814086914,17.004714965820312,22.429256439208984,39.658809661865234,29.31856918334961,22.575519561767575,21.19225311279297,20.16535377502441,36.3380126953125,73.17182922363281,79.90713500976562,58.60536956787109,50.90229415893555,43.14013671875,59.25007629394531,80.92243957519531,48.5068359375,36.2632942199707,30.802629470825195,28.147178649902344,27.52493476867676,52.261512756347656,47.68756866455078,36.779205322265625,25.13162040710449,26.23734664916992,31.559383392333984,38.14472198486328,31.937885284423828,23.651609420776367,22.44083023071289,21.376867294311523,19.818248748779297,25.60431480407715,31.592430114746094,26.11846160888672,19.652990341186523,17.966205596923828,22.30951690673828,35.53462219238281,27.39156723022461,23.858667373657227,20.774982452392575,19.523822784423828,21.500221252441406,37.82368850708008,32.88399887084961,17.511476516723633,13.33877658843994,19.1651668548584,37.98256301879883,65.66307830810547,47.76860046386719,34.87993240356445,29.839555740356445,25.637849807739254
Samburu County,Samburu East Sub County,36.27780151367188,28.344512939453125,25.055330276489254,29.48839569091797,43.71329879760742,35.22395706176758,27.16559410095215,23.975778579711918,25.624794006347656,37.40948486328125,63.27354049682617,79.7716064453125,69.31980895996094,61.08292388916016,46.28070831298828,61.524845123291016,77.89263916015625,47.9053840637207,36.064208984375,34.8743782043457,33.793399810791016,36.86759567260742,61.41641998291016,47.3919563293457,39.00676345825195,31.145984649658203,31.95598602294922,35.615482330322266,41.56169891357422,35.732120513916016,23.36102867126465,23.074617385864254,25.23694610595703,28.20231819152832,32.53231430053711,38.02278137207031,35.472862243652344,29.688451766967773,28.149658203125,31.452829360961918,41.95270156860352,30.954551696777344,24.78134155273437,23.6265869140625,24.49711799621582,25.694379806518555,49.80327224731445,46.626895904541016,37.43333435058594,28.100461959838867,28.50800132751465,44.9130973815918,53.03204345703125,35.71987533569336,26.868391036987305,25.6182861328125,24.30150413513184
Samburu County,Samburu North Sub County,41.338600158691406,32.988861083984375,29.98040199279785,31.308225631713867,45.55919647216797,48.87168884277344,45.00873947143555,38.39082717895508,37.28133773803711,44.95505905151367,62.268516540527344,75.2850341796875,64.66021728515625,64.2726821899414,53.10552597045898,65.71051788330078,88.25639343261719,63.28173065185547,49.95747756958008,51.26578521728516,48.93495941162109,46.69405364990234,63.55927276611328,49.07232284545898,42.71720123291016,36.852333068847656,39.31623458862305,41.038272857666016,53.14509582519531,50.267677307128906,31.770814895629883,31.505416870117188,35.57148742675781,40.885501861572266,40.097164154052734,39.58786010742188,35.00178909301758,30.89982795715332,31.338558197021484,33.35617446899414,47.42322540283203,39.65527725219727,33.033599853515625,33.40021896362305,36.37318420410156,35.17386245727539,45.46683883666992,40.166141510009766,39.37483215332031,30.82758140563965,32.136558532714844,48.23013305664063,57.42268753051758,42.1463737487793,30.98172950744629,31.53205299377441,30.43788146972656
Kisumu County,Seme Sub County,68.47573852539062,53.45376968383789,54.10107803344727,54.13952255249024,71.15519714355469,71.82110595703125,65.8373794555664,59.64006423950195,66.96582794189453,63.07664489746094,67.24057006835938,66.51093292236328,69.1297836303711,68.08352661132812,67.22250366210938,62.53675842285156,71.70601654052734,71.59947967529297,67.28599548339844,62.07876968383789,70.29673767089844,70.26331329345703,81.362060546875,75.7478256225586,72.30148315429688,61.153717041015625,55.9969596862793,61.32828140258789,72.07572937011719,74.98262786865234,63.65049362182617,59.389949798583984,62.51952362060547,71.9437484741211,67.28900909423828,59.84957504272461,56.78379440307617,58.8871955871582,59.64463424682617,56.19090270996094,66.57060241699219,73.07405853271484,69.08653259277344,62.353782653808594,69.26017761230469,72.08843231201172,62.02523422241211,63.963417053222656,68.6695327758789,48.07885360717773,45.77050018310547,65.7514419555664,82.56599426269531,73.33271026611328,65.33955383300781,61.17991256713867,62.77476119995117
Kakamega County,Shinyalu Sub County,171.2823944091797,149.64498901367188,132.79318237304688,130.82998657226562,150.03541564941406,142.1547393798828,150.78819274902344,145.7244415283203,158.8317108154297,148.8683624267578,154.6973419189453,145.3253631591797,161.4539794921875,168.94825744628906,160.25559997558594,134.90371704101562,154.4632110595703,141.20713806152344,141.26083374023438,144.71453857421875,162.18521118164062,163.00807189941406,183.4032440185547,173.05755615234375,170.95779418945312,153.5146026611328,148.19247436523438,147.0973663330078,151.5184783935547,162.0708770751953,145.8519744873047,151.7467498779297,142.59825134277344,162.31906127929688,170.0966796875,158.2404022216797,151.39013671875,159.99185180664062,159.83377075195312,145.32376098632812,149.76039123535156,152.1160125732422,150.9789581298828,145.3130340576172,165.71243286132812,182.05831909179688,160.1749725341797,155.9081573486328,177.20458984375,145.34474182128906,126.48795318603516,151.4040069580078,171.83253479003906,158.25653076171875,156.7683868408203,165.19479370117188,163.67347717285156
Kericho County,Sigowet/Soin Sub County,117.2322769165039,95.34210968017578,101.24284362792967,98.51424407958984,131.87030029296875,125.51746368408205,135.3553924560547,128.45506286621094,135.74246215820312,117.9989776611328,129.333251953125,121.27181243896484,125.64419555664062,131.19085693359375,126.5154800415039,112.30333709716795,135.5416259765625,129.43162536621094,131.483154296875,127.1164321899414,140.270751953125,130.1586151123047,146.66453552246094,134.3387908935547,131.4825439453125,113.65824127197266,108.478271484375,119.3430633544922,130.0421142578125,136.07298278808594,125.6012725830078,119.79358673095705,118.42529296875,134.10435485839844,121.98819732666016,109.3851089477539,105.31414031982422,110.45402526855467,118.58954620361328,113.72260284423828,123.70564270019533,127.79625701904295,128.36415100097656,124.50328063964844,136.80966186523438,135.3027801513672,119.60233306884766,117.74861145019533,131.2740020751953,99.0663833618164,94.0856475830078,111.0498275756836,148.7262725830078,130.10897827148438,129.04360961914062,122.24819946289062,116.17244720458984
Bungoma County,Sirisia Sub County,93.05292510986328,77.10202026367188,74.03093719482422,78.77408599853516,121.35935974121094,123.448974609375,117.09313201904295,109.10090637207033,116.95620727539062,109.33187103271484,114.181396484375,113.44046783447266,110.504638671875,110.83821105957033,101.78912353515624,92.47476196289062,120.18592834472656,116.1979522705078,105.71853637695312,98.33231353759766,111.20982360839844,116.54412841796876,137.82247924804688,123.88835906982422,104.0425796508789,90.42318725585938,85.19181060791016,98.46217346191406,123.49049377441406,128.5577392578125,105.9158172607422,102.64041137695312,104.62763214111328,127.38018798828124,120.36936950683594,99.17546844482422,86.47782135009766,82.49644470214844,85.3886489868164,88.528564453125,124.57305908203124,124.9302978515625,114.48797607421876,102.18073272705078,124.25125885009766,135.76657104492188,117.60643005371094,107.19152069091795,107.98472595214844,76.62824249267578,70.97003173828125,99.19978332519533,139.64389038085938,128.71466064453125,111.41675567626952,107.11768341064452,111.5698013305664
Bomet County,Sotik Sub County,150.44747924804688,127.27776336669922,125.76106262207033,114.93231964111328,139.00746154785156,118.58395385742188,142.38427734375,134.93885803222656,137.73204040527344,131.42266845703125,123.66360473632812,118.27751922607422,129.66383361816406,143.57608032226562,137.83729553222656,121.5318603515625,144.0646209716797,129.83648681640625,141.09657287597656,130.46237182617188,143.4552001953125,141.83700561523438,151.3606719970703,138.05209350585938,140.47085571289062,141.5162353515625,147.01979064941406,138.6365203857422,130.9532928466797,143.2913360595703,136.94593811035156,136.1254119873047,135.6429443359375,144.5986785888672,127.1708755493164,121.08983612060548,124.78257751464844,136.83929443359375,154.9611053466797,142.95477294921875,133.86529541015625,133.90972900390625,136.1507110595703,130.59182739257812,148.7425079345703,143.2631378173828,130.50888061523438,124.56846618652344,152.67697143554688,124.09445190429688,115.142333984375,129.96212768554688,158.9591827392578,134.21011352539062,137.24038696289062,134.0155792236328,136.18418884277344
Kisii County,South Mugirango Sub County,128.64361572265625,104.8520965576172,102.73542785644533,100.09229278564452,136.51368713378906,122.61673736572266,127.3165054321289,114.84284973144533,121.7256317138672,116.94580078125,117.3287582397461,102.7249755859375,120.17953491210938,119.2795181274414,115.63961791992188,110.9326629638672,131.64918518066406,138.5706787109375,132.5813446044922,114.09001159667967,124.66393280029295,124.98465728759766,132.7886962890625,125.67826080322266,114.5625,118.5684814453125,116.94949340820312,122.6155776977539,127.68364715576172,135.67578125,123.14632415771484,113.410888671875,106.38280487060548,126.97660064697266,125.85372924804688,115.99429321289062,111.1930694580078,111.2865219116211,124.35978698730467,121.0679931640625,124.11393737792967,129.53997802734375,124.8461456298828,105.48783111572266,120.04466247558594,134.8384552001953,120.65374755859376,113.45032501220705,128.23785400390625,103.84557342529295,100.71247100830078,114.0561065673828,147.65797424316406,134.9975128173828,127.9837875366211,113.8365478515625,110.69398498535156
Uasin Gishu County,Soy Sub County,74.1206283569336,60.45831298828125,48.608680725097656,46.61343002319336,82.94384765625,120.89363098144533,153.5393829345703,140.24559020996094,142.76353454589844,123.071533203125,114.08187103271484,111.6826629638672,117.95099639892578,115.54718017578124,93.7269058227539,75.59320068359375,116.69078826904295,128.71766662597656,128.30453491210938,125.79837036132812,128.39486694335938,123.0587387084961,134.37258911132812,108.5823211669922,82.2868881225586,68.34351348876953,63.15609359741211,74.08358764648438,118.20697021484376,146.47317504882812,122.57315063476562,136.36744689941406,116.948486328125,132.73411560058594,121.61927032470705,94.1370086669922,76.67024230957031,70.52717590332031,64.57638549804688,56.63833236694336,103.2027816772461,130.1708526611328,134.06399536132812,129.88449096679688,141.8043975830078,131.41578674316406,97.88121795654295,85.15794372558594,89.29090881347656,63.45857620239258,58.58637619018555,78.9568862915039,123.74342346191406,134.0769805908203,142.070556640625,147.7489776611328,130.10000610351562
Nairobi County,Starehe Sub County,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homa Bay County,Suba South Sub County,54.7721061706543,39.50028610229492,37.28565979003906,36.408164978027344,58.11507415771485,59.74282455444336,55.38543701171875,45.46271896362305,47.51255798339844,49.87157440185547,52.43880462646485,52.42032623291016,60.59280776977539,58.89639663696289,59.02777099609375,55.01664733886719,62.8800163269043,65.2273941040039,57.73620223999024,45.97423553466797,53.5374641418457,52.01382446289063,64.11756134033203,59.31939697265625,56.88203811645508,51.44210433959961,50.38766860961914,53.48889923095703,63.44704818725586,65.43791198730469,54.39557647705078,43.48261642456055,42.34521865844727,53.38379287719727,52.36593627929688,49.66745376586914,48.97032928466797,51.5746955871582,53.75413513183594,49.99305725097656,55.225284576416016,60.92741394042969,53.37252426147461,47.77211380004883,52.84217834472656,50.42036819458008,48.16891479492188,52.39557647705078,55.576148986816406,38.321590423583984,37.33617782592773,56.54129409790039,72.19326782226562,63.98468017578125,57.71357345581055,43.51290130615234,42.55680847167969
Nakuru County,Subukia Sub County,101.3881607055664,85.05347442626953,69.97986602783203,60.13763046264648,72.53693389892578,99.6514892578125,138.80206298828125,134.25161743164062,132.46463012695312,113.8556137084961,115.51638793945312,113.93418884277344,131.7545166015625,132.99234008789062,115.52180480957033,100.25334167480467,133.36349487304688,129.87646484375,134.7314453125,137.22340393066406,138.3788604736328,125.60770416259766,140.65736389160156,128.64471435546875,112.14855194091795,94.91545104980467,85.59308624267578,79.01476287841797,102.68135833740234,118.61945343017578,109.43318939208984,128.48309326171875,129.4707489013672,130.8835906982422,107.97291564941406,85.35472106933594,79.37630462646484,77.46717834472656,71.69677734375,63.15837860107422,99.08148193359376,116.8705825805664,118.03853607177734,121.14208221435548,135.3752899169922,130.54702758789062,102.9642105102539,95.36368560791016,86.063232421875,69.37648010253906,61.998512268066406,89.74032592773438,148.50485229492188,133.26844787597656,122.27864837646484,112.51388549804688,105.61720275878906
Migori County,Suna East Sub County,134.22930908203125,111.00357818603516,102.5162582397461,95.93912506103516,135.80970764160156,129.72911071777344,123.30305480957033,100.33595275878906,111.20575714111328,103.53144073486328,115.6937026977539,112.47160339355467,122.41873168945312,128.084716796875,120.89342498779295,117.7361068725586,137.80943298339844,138.99920654296875,120.63589477539062,101.32481384277344,114.06719207763672,110.88714599609376,129.86834716796875,127.32962799072266,119.6370086669922,119.8116455078125,118.33211517333984,119.21587371826172,132.10687255859375,137.72430419921875,121.29369354248048,102.4310531616211,100.47877502441406,113.0159683227539,119.15572357177734,118.9954605102539,113.74199676513672,112.4516372680664,122.74219512939452,119.8115005493164,124.25892639160156,132.84136962890625,121.20354461669922,99.41807556152344,110.41434478759766,108.21258544921876,111.5144500732422,112.57048034667967,131.8954315185547,104.7451171875,101.23795318603516,117.57865142822266,148.5943145751953,135.44833374023438,123.91378021240234,98.26937103271484,94.97896575927734
Migori County,Suna West Sub County,128.66041564941406,109.79908752441406,98.90544891357422,90.4635238647461,127.95870208740234,118.57015991210938,114.6737823486328,85.62872314453125,93.36585235595705,90.42489624023438,108.8176727294922,110.66730499267578,119.01652526855467,124.82669830322266,119.76458740234376,116.12483978271484,135.0825653076172,134.29403686523438,116.40477752685548,95.42486572265624,107.00873565673828,104.54161834716795,128.28549194335938,128.17742919921875,117.78925323486328,117.62369537353516,114.41703033447266,120.22593688964844,128.4590301513672,130.32821655273438,106.14240264892578,92.12434387207033,89.98040008544922,104.04564666748048,113.64122009277344,116.6301727294922,103.58536529541016,108.57623291015624,120.4036636352539,120.64732360839844,122.21257019042967,128.10440063476562,111.38479614257812,91.3556900024414,98.95274353027344,97.26718139648438,107.47545623779295,113.90959930419922,131.28305053710938,101.85890197753906,96.76243591308594,115.4744644165039,142.07965087890625,132.11264038085938,121.1191177368164,90.94342041015624,88.89483642578125
Wajir County,Tarbaj Sub County,16.95553207397461,13.97488784790039,14.790898323059082,25.15791702270508,34.30426788330078,27.147197723388672,20.65342712402344,19.830698013305664,21.96219253540039,39.91699981689453,64.93120574951172,61.29428863525391,33.589847564697266,21.927175521850582,22.335580825805664,44.01866149902344,60.7340202331543,40.23787689208984,32.08039474487305,26.837299346923828,26.00606918334961,28.310665130615234,49.78656768798828,33.31127166748047,18.909122467041016,14.248821258544922,18.403148651123047,35.931034088134766,42.77406692504883,31.849424362182617,22.39513397216797,21.44327735900879,20.78853225708008,19.854005813598636,21.366256713867188,24.717180252075195,16.82418441772461,11.634573936462402,13.15408706665039,23.001619338989254,46.13254928588867,33.64194869995117,25.658308029174805,21.90811538696289,19.994686126708984,21.36738586425781,41.33539581298828,28.22281646728516,14.509255409240724,11.492704391479492,20.49611473083496,43.713165283203125,56.05841445922852,39.05644607543945,26.526351928710938,23.966007232666016,21.760690689086918
